{\rtf1\mac\ansicpg10000\cocoartf824\cocoasubrtf420
{\fonttbl\f0\fnil\fcharset77 Monaco;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww25100\viewh14280\viewkind0
\pard\tx560\tx1120\tx1680\tx2240\tx2800\tx3360\tx3920\tx4480\tx5040\tx5600\tx6160\tx6720\ql\qnatural\pardirnatural

\f0\fs20 \cf0 1;"AIDS-related anal cancer";"AIDS-related anal cancer";2;"10065860";0\
2;"AIDS-related cervical cancer";"AIDS-related cervical cancer";2;"10008229";0\
3;"AIDS-related HPV infections";"AIDS-related HPV infections";2;"10063001";0\
4;"AIDS-related HPV-related cancer";"AIDS-related HPV-related cancer, NOS";2;"90600068";0\
5;"AIDS-related Kaposi sarcoma";"AIDS-related Kaposi sarcoma";3;"10023290";0\
6;"AIDS-related Hodgkin lymphoma";"AIDS-related Hodgkin lymphoma";4;"90600076";0\
7;"AIDS-related NHL";"AIDS-related Non-Hodgkin lymphoma";4;"90600308";0\
8;"AIDS-related primary CNS lymphoma";"AIDS-related primary CNS lymphoma";4;"90600080";0\
9;"AIDS-related complications";"AIDS-related complications";5;"10049026";0\
10;"Diffuse infiltra. lymph. sydrome";"Diffuse infiltrative lymphocytosis syndrome";5;"10025280";0\
11;"HIV test positive";"HIV test positive";5;"10020188";0\
12;"Bone cancer, NOS";"Bone cancer, NOS";7;"10053650";0\
13;"Chondrosarcoma";"Chondrosarcoma";8;"10008737";0\
14;"Ewing sarcoma/Peripheral PNET";"Ewing sarcoma/Peripheral primitive neuroectodermal tumor";9;"10015563";0\
15;"Osteosarcoma";"Osteosarcoma";10;"10031291";0\
16;"Ductal carcinoma in situ";"Ductal carcinoma in situ";12;"10013806";0\
17;"Lobular carcinoma in situ";"Lobular carcinoma in situ";12;"10024744";0\
18;"Cystosarcoma phylloides - breast";"Cystosarcoma phylloides of the breast";13;"10053130";0\
19;"Inflammatory breast carcinoma";"Inflammatory breast carcinoma";13;"10021980";0\
20;"Invasive breast carcinoma";"Invasive breast carcinoma";13;"10006190";0\
21;"Breast cancer, NOS";"Breast cancer, NOS";14;"10006285";0\
22;"Anaplastic astrocytoma";"Anaplastic astrocytoma";16;"10002224";0\
23;"Diffuse brainstem glioma";"Diffuse brainstem glioma";16;"10006143";0\
24;"Glioblastoma multiforme";"Glioblastoma multiforme";16;"10018337";0\
25;"High-grade astrocytoma, NOS";"High-grade astrocytoma, NOS";16;"10008093";0\
26;"Fibrillary astrocytoma";"Fibrillary astrocytoma";17;"10065889";0\
27;"Low-grade astrocytoma, NOS";"Low-grade astrocytoma, NOS";17;"10003571";0\
28;"Pilocytic astrocytoma";"Pilocytic astrocytoma";17;"90600112";0\
29;"Choroid plexus carcinoma";"Choroid plexus carcinoma";18;"90600120";0\
30;"CNS primary tumor, NOS";"CNS primary tumor, NOS";19;"10007959";0\
31;"Pineal parenchymal tumor";"Pineal parenchymal tumor";19;"10035054";0\
32;"Atypical teratoid/rhabdoid tumor";"Atypical teratoid/rhabdoid tumor";20;"10065870";0\
33;"Medulloblastoma";"Medulloblastoma";20;"10027107";0\
34;"Supratent. primitive neuro. tumor";"Supratentorial primitive neuroectodermal tumor";20;"10056672";0\
35;"Ependymoma, NOS";"Ependymoma, NOS";21;"10014967";0\
36;"Germinoma of CNS";"Germinoma of CNS";22;"10065852";0\
37;"Nongerminomatous GCT - CNS";"Nongerminomatous germ cell tumor of the CNS";22;"10065853";0\
38;"Meningioma, NOS";"Meningioma, NOS";23;"10027189";0\
39;"Anaplastic oligodendroglioma";"Anaplastic oligodendroglioma";24;"10026659";0\
40;"Oligodendroglioma, NOS";"Oligodendroglioma, NOS";24;"10030286";0\
41;"Craniopharyngioma";"Craniopharyngioma";25;"10011318";0\
42;"Pituitary gland cancer, NOS";"Pituitary gland cancer, NOS";25;"10035106";0\
43;"CNS-excluded nervous sys. cancer";"CNS-excluded nervous system cancer, NOS";27;"10029208";0\
44;"Neuroblastoma";"Neuroblastoma";28;"10029261";0\
45;"Neurofibromatosis";"Neurofibromatosis";29;"10029268";0\
46;"Adrenocortical carcinoma";"Adrenocortical carcinoma, NOS";31;"10001327";0\
47;"Endocrine cancer, NOS";"Endocrine cancer, NOS";32;"10014709";0\
48;"Carcinoid tumor";"Carcinoid tumor";33;"10007276";0\
49;"Islet cell tumors - pancreas";"Islet cell tumors of the pancreas";33;"10033630";0\
50;"Neuroendocrine cancer, NOS";"Neuroendocrine cancer, NOS";33;"10057270";0\
51;"Pheochromocytoma (adrenal)";"Pheochromocytoma (adrenal)";33;"10034876";0\
52;"Small cell car. (extrapulmonary)";"Small cell carcinoma (extrapulmonary)";33;"10041056";0\
53;"Parathyroid cancer, NOS";"Parathyroid cancer, NOS";34;"10033965";0\
54;"Anaplastic thyroid carcinoma";"Anaplastic thyroid carcinoma";35;"10002240";0\
55;"Follicular thyroid carcinoma";"Follicular thyroid carcinoma";35;"10016935";0\
56;"Hurthle cell neoplasm (thyroid)";"Hurthle cell neoplasm (thyroid)";35;"10065861";0\
57;"Medullary thyroid carcinoma";"Medullary thyroid carcinoma";35;"10027105";0\
58;"Papillary thyroid carcinoma";"Papillary thyroid carcinoma";35;"10033701";0\
59;"Thyroid cancer, NOS";"Thyroid cancer, NOS";35;"10043738";0\
60;"Malignant eye cancer, NOS";"Malignant eye cancer, NOS";37;"10025549";0\
61;"Retinoblastoma";"Retinoblastoma";38;"10038918";0\
62;"Anal cancer";"Anal cancer, NOS";40;"10002126";0\
63;"Squamous cell carcinoma - anus";"Squamous cell carcinoma of the anus";40;"10041840";0\
64;"Adenocarcinoma - colon";"Adenocarcinoma of the colon";41;"10009951";0\
65;"Adenocarcinoma - rectum";"Adenocarcinoma of the rectum";41;"10038045";0\
66;"Colorectal cancer, NOS";"Colorectal cancer, NOS";41;"10010029";0\
67;"Adenocarcinoma - esophagus";"Adenocarcinoma of the esophagus";42;"10030139";0\
68;"Adenocarcinoma - GEJ";"Adenocarcinoma of the gastroesophageal junction";42;"90002022";0\
69;"Adenocarcinoma - stomach";"Adenocarcinoma of the stomach";42;"10001150";0\
70;"Esophageal cancer, NOS";"Esophageal cancer, NOS";42;"10030157";0\
71;"Gastric cancer, NOS";"Gastric cancer, NOS";42;"10017760";0\
72;"Squamous cell car. - esophagus";"Squamous cell carcinoma of the esophagus";42;"10030186";0\
73;"Gastrointestinal cancer, NOS";"Gastrointestinal cancer, NOS";43;"10017986";0\
74;"Cholangiocar.- intra/extrahepatic";"Cholangiocarcinoma, intrahepatic and extrahepatic bile ducts (adenocarcinoma)";44;"10004669";0\
75;"Gall bladder carcinoma (adeno)";"Gall bladder carcinoma (adenocarcinoma)";44;"10017618";0\
76;"Hepatoblastoma";"Hepatoblastoma";44;"10019822";0\
77;"Hepatocellular carcinoma";"Hepatocellular carcinoma";44;"10049010";0\
78;"Liver/hepatobiliary cancer";"Liver and hepatobiliary cancer, NOS";44;"10019810";0\
79;"Adenocarcinoma - pancreas";"Adenocarcinoma of the pancreas";45;"10052747";0\
80;"Cystadenocarcinoma - pancreas";"Cystadenocarcinoma of the pancreas";45;"10065908";0\
81;"Pancreatic cancer (not Islets)";"Pancreatic cancer (excluding Islets), NOS";45;"10033612";0\
82;"Adenocarcinoma - small intest.";"Adenocarcinoma of the small intestine";46;"10041115";0\
83;"Small intestine cancer, NOS";"Small intestine cancer, NOS";46;"10054184";0\
84;"Extragonadal GCT, NOS";"Extragonadal germ cell tumors, NOS";48;"10015790";0\
85;"Germ cell cancer, NOS";"Germ cell cancer, NOS";49;"10018204";0\
86;"Ovarian dysgerminoma";"Ovarian dysgerminoma";50;"10052759";0\
87;"Ovarian nondysgerm. GCT, NOS";"Ovarian nondysgerminomatous germ cell tumor, NOS";50;"10052311";0\
88;"Testicular nonseminomat. GCT, NOS";"Testicular nonseminomatous germ cell tumor, NOS";51;"10043321";0\
89;"Testicular seminoma";"Testicular seminoma";51;"10043353";0\
90;"Head & neck cancer, NOS";"Head and neck cancer, NOS";53;"10025960";0\
91;"H & N precancerous condition";"Head and neck precancerous condition";54;"90600168";0\
92;"H & N squamous cell car., NOS";"Head and neck squamous cell carcinoma, NOS";55;"10060121";0\
93;"Laryngeal squamous cell carcinoma";"Laryngeal squamous cell carcinoma";55;"10023843";0\
94;"Lip/oral cavity squam. cell car.";"Lip and oral cavity squamous cell carcinoma";55;"10024534";0\
95;"Pharyngeal squam. cell carcinoma";"Pharyngeal (including Hypopharyngeal and Oropharyngeal) squamous cell carcinoma";55;"10034819";0\
96;"Nasopharyngeal carcinoma";"Nasopharyngeal carcinoma";56;"10028786";0\
97;"Salivary gland cancer";"Salivary gland cancer";57;"10039397";0\
98;"Hematopoietic malignancy, NOS";"Hematopoietic malignancy, NOS";59;"10018864";0\
99;"Langerhans cell histiocytosis";"Langerhans cell histiocytosis";59;"10025581";0\
100;"Systemic mastocytosis, NOS";"Systemic mastocytosis, NOS";60;"10025638";0\
101;"Acute lymphoblastic leukemia";"Acute lymphoblastic leukemia, NOS";62;"10000846";0\
102;"B-precursor ALL";"Precursor B-lymphoblastic leukemia (B-precursor ALL)";62;"10003890";0\
103;"T-cell ALL";"Precursor T-lymphoblastic leukemia (T-cell ALL)";62;"10054569";0\
104;"Acute myeloid leukemia";"Acute myeloid leukemia, NOS";63;"10000884";0\
105;"Acute promyelocytic leukemia";"Acute promyelocytic leukemia";63;"10001019";0\
106;"Treatment-related AML";"Treatment-related acute myeloid leukemia";63;"90600316";0\
107;"Adult T-cell leukemia/lymphoma";"Adult T-cell leukemia/lymphoma";64;"10001415";0\
108;"Chronic lymphocytic leukemia, NOS";"Chronic lymphocytic leukemia, NOS";64;"10008960";0\
109;"Hairy cell leukemia";"Hairy cell leukemia";64;"10019053";0\
110;"Prolymphocytic leukemia (B or T)";"Prolymphocytic leukemia (B or T-cell)";64;"10036888";0\
111;"T-cell large gran. lymph. leuk.";"T-cell large granular lymphocytic leukemia";64;"10065862";0\
112;"CEL/Hypereosinophilic syndrome";"Chronic eosinophilic leukemia/hypereosinophilic syndrome";65;"10065872";0\
113;"Chronic idiopathic myelofibrosis";"Chronic idiopathic myelofibrosis";65;"10028537";0\
114;"CML - Philadelphia chromosome";"Chronic myelogenous leukemia, Philadelphia chromosome positive";65;"10009013";0\
115;"Essential thrombocythemia";"Essential thrombocythemia";65;"10015493";0\
116;"Polycythemia vera";"Polycythemia vera";65;"10036061";0\
117;"Leukemia, NOS";"Leukemia, NOS";66;"10024312";0\
118;"Myelodysplastic syndrome, NOS";"Myelodysplastic syndrome, NOS";67;"10028534";0\
119;"Chronic myelomonocytic leukemia";"Chronic myelomonocytic leukemia";68;"10009018";0\
120;"Juvenile myelomonocytic leukemia";"Juvenile myelomonocytic leukemia";68;"10023249";0\
121;"Lymphomatoid granulomatosis";"Lymphomatoid granulomatosis";70;"10025325";0\
122;"Hodgkin lymphoma nodular LP, NOS";"Hodgkin lymphoma nodular lymphocyte predominant type, NOS";71;"10020231";0\
